,Project.Name,Address,Transacted Price,Price (psf),Date,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,Avg area sqf,Dist_Sch_Label
98,ASTON RESIDENCE,209 JALAN LOYANG BESAR #01-18,2980000,632,2022-04-14,2010,Resale,17,2022,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.882190211,PASIR RIS MRT STATION,1.872623944,4714.63,1
99,N.A.,11 CHESTNUT AVENUE,6050000,1117,2019-12-02,2021,Resale,23,2019,1,Freehold,188,WEST SPRING PRIMARY SCHOOL,2.219207488,CASHEW MRT STATION,0.851368356,5414.29,3
100,N.A.,33 COVE DRIVE,19888800,1669,2019-12-02,2021,Resale,4,2019,1,99-yr,188,RADIN MAS PRIMARY SCHOOL,3.824660358,KEPPEL MRT STATION,3.062593025,11913.6,3
101,N.A.,115 UNIVERSITY ROAD,12000000,1280,2019-12-04,2021,Resale,11,2019,1,Freehold,188,RAFFLES GIRLS' PRIMARY SCHOOL,1.38477507,BOTANIC GARDENS MRT STATION,0.900339708,9374.37,2
102,N.A.,3 CAMBORNE ROAD,23300000,1550,2019-12-10,2021,Resale,11,2019,1,Freehold,188,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),0.868550537,BOTANIC GARDENS MRT STATION,0.528406449,15029.77,1
103,N.A.,20 ONE TREE HILL,13000000,2437,2019-12-11,2021,Resale,10,2019,1,Freehold,188,ANGLO-CHINESE SCHOOL (JUNIOR),1.841728031,ORCHARD BOULEVARD MRT STATION,0.315709205,5333.56,2
104,N.A.,21 JALAN SENANG,7200000,1440,2019-12-16,2021,Resale,14,2019,1,Freehold,188,MAHA BODHI SCHOOL,1.763322379,KEMBANGAN MRT STATION,0.44543135,4999.88,2
105,N.A.,2 DUNSFOLD DRIVE,7500000,1609,2019-12-20,2021,Sub Sale,13,2019,1,Freehold,188,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,0.945468069,LORONG CHUAN MRT STATION,0.887832832,4661.89,1
106,N.A.,31 CLUNY HILL,30800000,2025,2019-12-25,2021,Resale,10,2019,1,Freehold,188,NANYANG PRIMARY SCHOOL,0.823645474,BOTANIC GARDENS MRT STATION,0.526732295,15208.46,1
107,N.A.,51 CHESTNUT CRESCENT,6300000,933,2019-12-27,2021,Resale,23,2019,1,Freehold,188,WEST SPRING PRIMARY SCHOOL,2.108098884,CASHEW MRT STATION,0.875743701,6751.18,3
108,TOH ESTATE,41 TOH DRIVE,4350000,643,2019-12-27,2019,Resale,17,2019,1,Freehold,1,PASIR RIS PRIMARY SCHOOL,1.406590994,CHANGI AIRPORT MRT STATION,1.922480971,6764.1,2
109,TOH ESTATE,41 TOH DRIVE,4100000,606,2020-06-30,2019,Resale,17,2020,1,Freehold,1,PASIR RIS PRIMARY SCHOOL,1.406590994,CHANGI AIRPORT MRT STATION,1.922480971,6764.1,2
110,N.A.,18 EAST SUSSEX LANE,36882500,1000,2019-12-30,2021,Resale,10,2019,1,Freehold,188,HENRY PARK PRIMARY SCHOOL,0.853659373,BUONA VISTA MRT STATION,0.58598613,36882.85,1
111,SHANGRI-LA PARK,49 SHANGRI-LA WALK,5500000,911,2019-12-31,2016,Resale,20,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.389661548,MAYFLOWER MRT STATION,0.366843011,6037.53,1
112,KILBURN ESTATE,3 WILMONAR AVENUE,9300000,1658,2020-01-02,1991,Resale,21,2020,1,999-yr,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.843665388,KING ALBERT PARK MRT STATION,0.188785514,5608.04,1
113,N.A.,26 JALAN TARI PAYONG,4750000,673,2020-01-03,2021,Resale,28,2020,1,999-yr,188,SENGKANG GREEN PRIMARY SCHOOL,0.968844989,SENGKANG MRT STATION,2.902059602,7060.11,1
114,FRANKEL ESTATE,12A FRANKEL AVENUE,8800000,2100,2020-01-03,Uncompleted,New Sale,15,2020,1,Freehold,1,TAO NAN SCHOOL,1.402697146,KEMBANGAN MRT STATION,0.48550592,4190.43,2
115,N.A.,62 FLORENCE ROAD,12100000,762,2020-01-07,2021,Resale,19,2020,1,999-yr,188,XINMIN PRIMARY SCHOOL,0.727359134,KOVAN MRT STATION,0.555266143,15871.52,1
