Project.Name,Address,Transacted Price,Price (psf),Date,Property.Type,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,ENBLOC,Avg area sqf,Dist_Sch_Label
N.A.,16 LEEDON PARK,31000000,2000,11/7/2019,Detached House,2021,Resale,10,2019,1,Freehold,188,NANYANG PRIMARY SCHOOL,1.108258463,HOLLAND VILLAGE MRT STATION,0.566140124,0,15500.16,2
LAUW & SONS GARDEN,5 BINCHANG RISE,4900000,1124,11/7/2019,Semi-Detached House,1998,Resale,20,2019,1,Freehold,1,CATHOLIC HIGH SCHOOL,0.628779919,BISHAN MRT STATION,0.455151912,0,4360.5,1
KEW COTTAGES,12 LIMAU WALK,2880000,1215,12/7/2019,Terrace House,1985,Resale,16,2019,1,Freehold,1,TEMASEK PRIMARY SCHOOL,0.853751551,TANAH MERAH MRT STATION,0.671469818,0,2371.31,1
GERALD GARDENS,45 GERALD CRESCENT,2200000,1161,12/7/2019,Terrace House,2020,Resale,28,2019,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,0.602691607,BUANGKOK MRT STATION,1.989851103,0,1895.54,1
BRADDELL HEIGHTS ESTATE,1A DUNSFOLD DRIVE,9000000,1007,12/7/2019,Detached House,2019,Resale,13,2019,1,Freehold,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,0.921588546,LORONG CHUAN MRT STATION,0.933163369,0,8940.58,1
N.A.,7C ROBEY CRESCENT,3288000,1066,12/7/2019,Semi-Detached House,2021,Resale,19,2019,1,999-yr,188,XINMIN PRIMARY SCHOOL,0.439598379,KOVAN MRT STATION,0.918393734,0,3084.96,1
BELGRAVIA GREEN,287 BELGRAVIA DRIVE,3028580,885,13/7/2019,Terrace House,Uncompleted,New Sale,28,2019,1,Freehold,1,ROSYTH SCHOOL,1.462634089,ANG MO KIO MRT STATION,2.013846706,0,3422.95,2
BELGRAVIA GREEN,227 BELGRAVIA DRIVE,2729200,871,14/7/2019,Terrace House,Uncompleted,New Sale,28,2019,1,Freehold,1,ROSYTH SCHOOL,1.462945442,ANG MO KIO MRT STATION,1.978986794,0,3132.32,2
LUXUS HILLS,10 SELETAR GREEN WALK,2950000,1827,15/7/2019,Terrace House,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.792021387,BUANGKOK MRT STATION,2.151440421,0,1614.6,1
N.A.,35 PENAGA PLACE,1780000,755,15/7/2019,Terrace House,2021,Resale,27,2019,1,99-yr,188,WELLINGTON PRIMARY SCHOOL,2.111693519,CANBERRA MRT STATION,2.160401549,0,2356.24,3
LENTOR VIEW,29 LENTOR VALE,3500000,985,15/7/2019,Semi-Detached House,1992,Resale,26,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,1.570582258,LENTOR MRT STATION,0.247619828,0,3553.2,2
SERANGOON GARDEN ESTATE,66 COWDRAY AVENUE,3200000,1073,15/7/2019,Terrace House,2022,Resale,19,2019,1,999-yr,1,ROSYTH SCHOOL,1.290596261,ANG MO KIO MRT STATION,1.680696493,0,2981.63,2
CABANA,239 SUNRISE TERRACE,1900000,569,15/7/2019,Terrace House,2013,Resale,28,2019,1,99-yr,1,SENGKANG GREEN PRIMARY SCHOOL,2.324103349,YIO CHU KANG MRT STATION,1.298475967,0,3336.84,3
FRANKEL ESTATE,5 FRANKEL AVENUE,7350000,1053,15/7/2019,Detached House,2021,Resale,15,2019,1,Freehold,1,TAO NAN SCHOOL,1.510218611,KEMBANGAN MRT STATION,0.352482066,0,6980.45,2
N.A.,55 KIM YAM ROAD,2903800,2383,15/7/2019,Terrace House,2021,Resale,9,2019,1,99-yr,188,ANGLO-CHINESE SCHOOL (JUNIOR),1.812797553,FORT CANNING MRT STATION,0.477750263,0,1218.48,2
HEETON PARK,6 THONG SOON ROAD,2600000,1471,16/7/2019,Terrace House,1982,Resale,26,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,3.216257321,SPRINGLEAF MRT STATION,0.142310421,0,1767.45,3
N.A.,294 ONAN ROAD,2658000,1766,16/7/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.151984068,MARINE PARADE MRT STATION,0.770747811,0,1504.81,2
VILLA VERDE,62 VERDE CRESCENT,1430000,886,16/7/2019,Terrace House,2000,Resale,23,2019,1,99-yr,1,SOUTH VIEW PRIMARY SCHOOL,1.108806371,YEW TEE MRT STATION,0.857496587,0,1614.6,2
N.A.,7 GARDENIA ROAD,5400000,1290,16/7/2019,Detached House,2021,Resale,20,2019,1,Freehold,188,AI TONG SCHOOL,0.673160432,UPPER THOMSON MRT STATION,0.401188835,0,4185.04,1
UNIVERSITY PARK,12 UNIVERSITY WALK,2880000,1247,16/7/2019,Semi-Detached House,1997,Resale,11,2019,1,99-yr,1,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),1.171726496,BOTANIC GARDENS MRT STATION,0.219622333,0,2308.88,2
